object,direction,rotationamount,rotationdirection,rotationaxis,reference
boat,north,270,counterclockwise,X,up
car,up,180,clockwise,X,down
ship,down,270,counterclockwise,X,north
cannon,up,180,clockwise,X,down
drone,north,90,counterclockwise,X,down
cannon,up,90,counterclockwise,X,north
bicycle,down,270,counterclockwise,Z,west
ship,down,90,clockwise,Z,west
helicopter,east,90,counterclockwise,Z,up
car,up,270,clockwise,Z,west
rocket,south,180,counterclockwise,Y,north
rocket,down,180,clockwise,X,up
ship,up,270,counterclockwise,X,south
train,up,180,counterclockwise,X,down
person,up,180,clockwise,X,down
cannon,up,180,clockwise,Z,down
boat,down,270,counterclockwise,Z,west
drone,north,180,counterclockwise,X,south
compass,up,90,counterclockwise,Z,west
compass,up,270,clockwise,Z,west
