question, correct_answer,
"If a refrigerator is rotated 180 degrees on its pitch axis and moved into the middle of a garage, is it still possible to open the door to get milk from the kitchen", yes,
"If an umbrella on a sidewalk is rotated 180 degrees on the roll axis to be flipped inside out by the wind, is it currently being used to stay dry", no,
"If a bicycle in a driveway is rotated 180 degrees on its pitch axis to be inverted for a chain repair and moved onto the roof, can it still be ridden", no,
"If a wall clock in a living room is rotated 360 degrees on its zaw axis and the hands are spun in a full circle, can it still be read to tell time", yes,
"If a trash can at the curbside is rotated 90 degrees on its roll axis and its lid is still attached, can it still be easily filled with garbage", no,
"If a soup bowl at the dining table is rotated 180 degrees on its zaw axis and is then placed under the table, can it still be used to hold soup", yes,
"If a sleeping bag outside of a tent is rotated 49 degrees on its pitch axis and then rolled up inside of the tent, can it still be slept in", no,
"If a step ladder in a storage room is rotated 57 degrees on its zaw axis to change a lightbulb during a blackout, would the lightbulb be able to turn on", no,
"If a parabolic satellite dish is rotated 360 degrees on its pitch axis and moved from its signal tower into a lead-lined storage container, is it currently receiving data transmissions from the orbital satellite", no"
"If a crane is rotated 68 degrees on its zaw axis and is driven from the job site to a fueling station, is the crane still able to in that moment help with construction", no,
