starting_cube,final_cube,moves
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:3 4;4 5| L:1 5;5 1| F:6 3;6 4| R:1 6;3 1| B:2 2;5 4| D:2 2;3 6,F1 L2
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U:1 4;2 1| L:6 1;4 5| F:3 5;4 1| R:3 6;5 3| B:2 2;4 2| D:6 6;3 5,F1 R1 U2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:6 4;3 5| L:1 5;6 1| F:4 3;2 4| R:1 5;3 1| B:6 5;6 2| D:3 2;4 2,F1 B2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:2 5;1 2| L:1 3;4 5| F:2 4;3 5| R:6 1;1 6| B:6 6;5 2| D:4 3;3 4,R1 D1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U:1 2;5 3| L:3 1;4 4| F:6 5;2 4| R:4 6;6 1| B:1 5;2 2| D:6 5;3 3,F2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:1 2;3 4| L:3 4;5 3| F:2 6;4 2| R:2 6;3 1| B:1 5;5 6| D:5 1;4 6,F2 U
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:5 1;4 2| L:3 6;5 2| F:2 6;4 3| R:1 3;5 1| B:2 4;5 6| D:3 1;4 6,U2
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U:3 5;5 6| L:1 3;6 6| F:1 2;5 6| R:4 4;1 4| B:3 2;3 1| D:4 5;2 2,L B2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:5 3;1 6| L:1 3;2 2| F:2 5;4 2| R:1 5;6 4| B:4 3;6 6| D:3 4;1 5,R2 B
U:4 3;4 5| L:2 2;4 2| F:6 1;6 1| R:3 1;6 6| B:2 3;4 5| D:1 5;3 5,U:1 3;1 1| L:6 3;3 6| F:5 6;2 6| R:2 1;4 4| B:2 5;2 4| D:4 5;5 3,F2 L1 D1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U:3 6;1 5| L:5 6;1 5| F:5 6;3 1| R:4 2;2 2| B:4 1;4 2| D:4 3;6 3,U1 D1 L1
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U:1 2;5 6| L:3 6;4 4| F:4 5;5 3| R:1 4;1 6| B:6 5;2 2| D:3 2;3 1,R
U: 1 2;5 6| L: 3 6;4 4| F: 4 2;5 6| R: 4 6;1 1| B: 1 5;2 2| D:3 5;3 3,U:4 2;2 3| L:5 4;3 2| F:6 4;3 4| R:2 6;6 6| B:1 3;1 1| D:1 5;5 5,D F2 L1
U:4 3;4 5| L:2 2;4 2| F:6 1;6 1| R:3 1;6 6| B:2 3;4 5| D:1 5;3 5,U:4 3;4 5| L:2 2;6 6| F:6 1;4 5| R:3 1;4 2| B:2 3;6 1| D:5 3;5 1,D2
U:2 4;1 5| L:1 3;5 2| F:2 4;4 3| R:3 6;5 1| B:2 6;5 6| D:3 1;4 6,U:4 3;2 1| L:2 6;3 1| F:1 5;5 6| R:3 4;5 3| B:2 6;4 2| D:6 4;1 5,F2 D2 U1
